county,url,check_time,http_status,result,keywords_found,error_detail
Ramsey,https://www.ramseycounty.us/residents/property-home/property-sales/tax-forfeited-auctions,2026-06-15T16:17:24,404,error_http_404,,http_404
Ramsey,https://www.ramseycounty.us/residents/property-home/property-sales/tax-forfeited-public-sales,2026-06-15T16:17:27,200,sale_found,tax-forfeited; forfeited land; public auction; forfeited parcels,
Red Lake,https://www.co.red-lake.mn.us/propertytax,2026-06-15T16:17:30,200,needs_manual_review,,Page content too short - may require JavaScript
Redwood,https://redwoodcounty-mn.us/departments/auditor-treasurer/,2026-06-15T16:17:32,200,sale_found,tax forfeited; forfeited property; tax forfeit,
Renville,https://www.renvillecountymn.gov/departments/auditor_tresurer/frequently_asked_questions_about_tax_forfeited_lands.php,2026-06-15T16:17:35,404,error_http_404,,http_404
Rice,https://www.ricecountymn.gov/249/Property-values-and-taxes,2026-06-15T16:17:38,200,no_sale_found,,
Rock,https://www.co.rock.mn.us/index.php,2026-06-15T16:17:40,200,no_sale_found,,
Roseau,https://www.co.roseau.mn.us/government/a_-_e/assessor/index.php,2026-06-15T16:17:55,200,sale_found,tax forfeited; forfeited land; land sale; tax forfeit,
Saint Louis,https://www.stlouiscountymn.gov/departments-a-z/land-minerals/sales-and-contracts/tax-forfeited-land-sales,2026-06-15T16:17:59,200,sale_found,tax-forfeited; forfeited land; land sale; public auction; tax forfeit,
Scott,https://www.scottcountymn.gov/DocumentCenter/View/11302/Tax-Forfeited-Properties-for-Sale,2026-06-15T16:18:02,404,error_http_404,,http_404
Scott,https://www.scottcountymn.gov/1163/Property-Taxation-Services,2026-06-15T16:18:04,200,sale_found,tax forfeited; tax forfeit,
Sherburne,https://www.co.sherburne.mn.us/232/Tax-Forfeited-Parcels,2026-06-15T16:18:07,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Sibley,https://www.co.sibley.mn.us/government/departments/auditor/tax_forfeited_property.php,2026-06-15T16:18:09,404,error_http_404,,http_404
Sibley,https://www.sibleycounty.gov/238/Property-Tax,2026-06-15T16:18:12,200,sale_found,tax forfeit,
Stearns,https://www.stearnscountymn.gov/691/Tax-Forfeited-Property,2026-06-15T16:18:14,200,sale_found,tax-forfeited; forfeited property,
Steele,https://www.co.steele.mn.us/divisions/land_use_and_records/auditor/tax_forfeited_properties_for_sale.php,2026-06-15T16:18:17,200,sale_found,tax forfeited; tax-forfeited; forfeited land; tax forfeit,
Stevens,https://www.co.stevens.mn.us/888/Assessor,2026-06-15T16:18:20,200,sale_found,tax forfeit,
Swift,https://www.swiftcounty.com/?SEC=9AEC2D5E-FE05-4C53-B5C9-5F1C373DF2A1,2026-06-15T16:18:22,404,error_http_404,,http_404
Todd,https://www.co.todd.mn.us/divisions/property-records/auditor-treasurer/#1536095103838-5b7732a8-e005,2026-06-15T16:18:25,,error_timeout,,timeout
Traverse,https://www.co.traverse.mn.us/departments/departments/assessor/,2026-06-15T16:20:04,200,no_sale_found,,
Wabasha,https://www.co.wabasha.mn.us/departments/auditor_treasurer/tax_forfeited_property_sale.php,2026-06-15T16:20:11,200,sale_found,tax forfeited; forfeited property; tax forfeit,
Wadena,http://www.co.wadena.mn.us/322/Tax-Forfeited-Land,2026-06-15T16:20:13,200,sale_found,tax forfeited; forfeited land; tax forfeit,
Waseca,https://www.wasecacounty.gov/103/Assessors-Office,2026-06-15T16:20:16,200,sale_found,auction sale,
Washington,https://www.co.washington.mn.us/1446/Sale-Information,2026-06-15T16:20:23,404,error_http_404,,http_404
Watonwan,https://www.co.watonwan.mn.us/130/Tax-Forfeited-Sale,2026-06-15T16:20:26,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; forfeiture sale,
Wilkin,https://www.co.wilkin.mn.us/auditortreasurer,2026-06-15T16:20:29,200,sale_found,tax forfeit,
Winona,https://www.co.winona.mn.us/179/Forfeited-Tax-Sales,2026-06-15T16:20:42,200,sale_found,land sale; tax forfeit,
Wright,https://www.co.wright.mn.us/191/Tax-Forfeiture,2026-06-15T16:20:45,404,error_http_404,,http_404
Yellow Medicine,https://www.co.ym.mn.gov/index.asp?SEC=D7845C79-6866-43C2-81C3-44B92DBEA6F2,2026-06-15T16:20:48,200,sale_found,tax forfeited; forfeited land; land sale; auction sale; forfeited property,
DNR,https://www.dnr.state.mn.us/lands_minerals/landsale/index.html,2026-06-15T16:20:50,200,sale_found,tax-forfeited; forfeited land; land sale; public auction,
MN DOT,https://www.dot.state.mn.us/row/propsales.html,2026-06-15T16:20:52,200,sale_found,land sale; sealed bid; over-the-counter,
Wisconsin,https://www.wisconsinsurplus.com,2026-06-15T16:20:55,200,no_sale_found,,
